Timestamp,Car Selection,Tesla,Version,Year,Origin,Wheels,Delivered,Battery,CapacityNetNew,"Form
Factor",Chemistry,Date,Age,Odometer,RatedRange,CapacityNetNow,Cycles,Degradation,DegradationPerMonth,DegradationPerCycle,Daily SOC Limit,DC Ratio,Battery Pack,Part Number,Energy Monitor,CC Check,WarrantyTime,WarrantyMileage,WarrantyDegradation,Result vs fleet data,DegradationPerKm,0.52,0.48,SUM
01.08.2023 10:01:42,Performance 2022 / AWD / WLTP 559km / E3LD MIC,Model 3,M3P 3L MIC,2022,China,"20""",26.02.2022,Panasonic 3L MIC,"82,0 kWh",2170,NCA MIC,31.07.2023,17 Months,20500 km,455 km,"72,1 kWh",73,"12,1%",,,0.9,0.25,Original,1660112-00-C,"72,1 kWh","0,0",0.18,0.11,0.4,"-6,9% compared to average",,"3,17%","2,03%","5,20%"
01.08.2023 21:31:28,Standard Range 2021 / RWD / WLTP 448km / E6CR,Model 3,Standard Range,2021,China,"18""",01.11.2021,CATL 6C,"55,2 kWh",Prismatic,LFP,30.07.2023,21 Months,22521 km,409 km,"52,4 kWh",96,"5,2%",,,1,0.25,Original,,,,0.22,0.14,0.17,"-1,2% compared to average",,"2,65%","1,33%","3,98%"
01.08.2023 21:38:31,Standard Range 2022 / RWD / WLTP 491km / E6LR,Model 3,Standard Range,2022,China,"18""",23.02.2022,CATL 6L,"61,7 kWh",Prismatic,LFP,20.07.2023,17 Months,26504 km,416 km,"57,4 kWh",99,"7,0%",,,1,0.25,Original,,,,0.18,0.17,0.23,"-2,8% compared to average",,"2,44%","1,73%","4,17%"
01.08.2023 22:29:05,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"18""",10.12.2021,LG Chem 5L,"79,5 kWh",2170,NMC,30.07.2023,20 Months,32680 km,558 km,"76,4 kWh",101,"3,8%",,"0,04%",,,,,,,0.2,0.17,0.13,"0,4% compared to average","0,0001%","2,57%","1,68%","4,25%"
01.08.2023 22:38:43,Performance 2022 / AWD / WLTP 559km / E3LD MIC,Model 3,M3P 3L MIC,2022,China,"20""",09.03.2022,Panasonic 3L MIC,"82,0 kWh",2170,NCA MIC,08.07.2023,16 Months,20000 km,487 km,"77,2 kWh",69,"5,9%",,,,,,,,,0.17,0.1,0.2,"-0,9% compared to average",,"2,96%","1,98%","4,94%"
01.08.2023 22:42:05,Long Range 2022 / AWD / WLTP 533km / Y5LD,Model Y,Long Range,2022,China,"20""",29.06.2022,LG Chem 5L,"79,5 kWh",2170,NMC,31.05.2023,11 Months,16704 km,514 km,"76,3 kWh",56,"4,0%",,,0.8,0.5,Original,,"77,5 kWh","-1,2",0.12,0.09,0.13,"-1,7% compared to average",,"1,45%","0,86%","2,31%"
01.08.2023 22:44:38,Standard Range 2021 / RWD / WLTP 448km / E6CR,Model 3,Standard Range,2021,China,"18""",19.06.2021,CATL 6C,"55,2 kWh",Prismatic,LFP,31.07.2023,25 Months,75000 km,404 km,"51,7 kWh",322,"6,3%","0,25%","0,02%",,,,,,,0.26,0.47,0.21,"1,3% compared to average","0,0001%","3,22%","4,42%","7,64%"
01.08.2023 22:45:05,Long Range 2021 / AWD / WLTP 580km / E5D,Model 3,Long Range,2021,USA,"19""",17.02.2021,LG Chem 5C,"75,9 kWh",2170,NMC,05.07.2023,29 Months,83300 km,517 km,"70,8 kWh",275,"6,7%","0,23%","0,02%",0.8,0.5,Original,,"70,4 kWh","0,4",0.3,0.43,0.22,"1,2% compared to average","0,0001%","3,70%","4,22%","7,92%"
01.08.2023 22:46:17,Performance 2022 / AWD / WLTP 547km / E5LD,Model 3,Performance,2022,China,"20""",16.09.2022,LG Chem 5L,"79,5 kWh",2170,NMC,01.08.2023,11 Months,10223 km,493 km,"78,1 kWh",36,"1,7%",,,0.8,0.25,Original,"C30,4 / D28,5","78,0 kWh","0,1",0.11,0.05,0.06,"0,2% compared to average",,"1,38%","0,52%","1,90%"
01.08.2023 22:49:25,Standard Range 2023 / RWD / WLTP 455km / Y6LR,Model Y,Standard Range,2023,China,"19""",15.05.2023,CATL 6L(Y),"61,7 kWh",Prismatic,LFP,01.08.2023,3 Months,8900 km,417 km,"59,4 kWh",34,"3,7%",,,1,0.25,Original,,,,0.03,0.06,0.12,,,#N/A,"0,60%",
01.08.2023 22:52:27,Long Range 2019 / AWD / WLTP 560km / E3D,Model 3,Long Range,2019,USA,"19""",29.03.2019,Panasonic 3,"78,5 kWh",2170,NCA,31.07.2023,52 Months,131000 km,450 km,"68,6 kWh",447,"12,6%","0,24%","0,03%",0.9,,Original,,,,0.54,0.68,0.42,"-0,6% compared to average","0,0001%","5,69%","6,29%","11,97%"
01.08.2023 23:06:02,Performance 2022 / AWD / WLTP 514km / Y5LD,Model Y,Performance,2022,Germany,"21""",13.08.2022,LG Chem 5L,"79,5 kWh",2170,NMC,26.07.2023,11 Months,12588 km,475 km,"78,4 kWh",46,"1,4%",,,,,,,,,0.12,0.07,0.05,"0,7% compared to average",,"1,50%","0,65%","2,14%"
