Lag,Autocorrelation,vehicle,month
2,-0.07500893102914695,P_1100,Month 1
3,-0.24578955745635364,P_1100,Month 1
4,-0.08367165128747733,P_1100,Month 1
5,0.09525439245971927,P_1100,Month 1
6,0.5204175141321942,P_1100,Month 1
7,-0.22549030912675325,P_1100,Month 1
8,-0.24408697524806525,P_1100,Month 1
9,-0.031580457912195686,P_1100,Month 1
10,-0.17170606160197044,P_1100,Month 1
11,0.46795710907782645,P_1100,Month 1
12,,P_1100,Month 1
13,,P_1100,Month 1
14,,P_1100,Month 1
2,0.2738281784189181,P_1100,Month 2
3,-0.15749448664530766,P_1100,Month 2
4,0.2968451811271736,P_1100,Month 2
5,0.021990268104710792,P_1100,Month 2
6,0.4626711748980976,P_1100,Month 2
7,0.2637379583434261,P_1100,Month 2
8,-0.16906359367681137,P_1100,Month 2
9,0.1364956878667455,P_1100,Month 2
10,-0.1754499599688925,P_1100,Month 2
11,0.4426935276253346,P_1100,Month 2
12,-0.2143992625056516,P_1100,Month 2
13,0.598823456756761,P_1100,Month 2
14,-0.17263301560534136,P_1100,Month 2
2,-0.03575961081651333,P_1100,Month 3
3,-0.14359395130781502,P_1100,Month 3
4,-0.30968163320837794,P_1100,Month 3
5,0.19773752931810348,P_1100,Month 3
6,-0.019425594721863348,P_1100,Month 3
7,0.3669127900370461,P_1100,Month 3
8,-0.22109292078408904,P_1100,Month 3
9,0.2175802112727367,P_1100,Month 3
10,0.10815341299182156,P_1100,Month 3
11,-0.17577070781289064,P_1100,Month 3
12,-0.0428897912022538,P_1100,Month 3
13,-0.19221616794615068,P_1100,Month 3
14,0.28613295927942134,P_1100,Month 3
2,-0.053544427632798396,P_1100,Month 4
3,-0.27930423777665303,P_1100,Month 4
4,-0.21461327052955753,P_1100,Month 4
5,0.18529250920722487,P_1100,Month 4
6,0.2102259846107184,P_1100,Month 4
7,-0.09735890031706472,P_1100,Month 4
8,0.35012022307446894,P_1100,Month 4
9,-0.15076795482799682,P_1100,Month 4
10,0.06126732782073075,P_1100,Month 4
11,-0.09806416393114253,P_1100,Month 4
12,0.1115915143911849,P_1100,Month 4
13,0.07046270498952854,P_1100,Month 4
14,0.03284720473551124,P_1100,Month 4
2,0.07152660210309489,P_1100,Month 5
3,0.05794340533014069,P_1100,Month 5
4,-0.25189094256521105,P_1100,Month 5
5,0.0769386628139368,P_1100,Month 5
6,0.13618266944763588,P_1100,Month 5
7,0.16604732613906462,P_1100,Month 5
8,-0.00396554995984135,P_1100,Month 5
9,-0.029471438443503088,P_1100,Month 5
10,-0.21339516432351266,P_1100,Month 5
11,-0.1552375273594011,P_1100,Month 5
12,-0.1668099276671364,P_1100,Month 5
13,-0.07494258247697225,P_1100,Month 5
14,0.0870955491407484,P_1100,Month 5
2,0.15469129966942635,P_1100,Month 6
3,-0.38833122300239103,P_1100,Month 6
4,-0.4157287168524738,P_1100,Month 6
5,-0.0661743945032773,P_1100,Month 6
6,-0.22862100986533673,P_1100,Month 6
7,0.6974886822983677,P_1100,Month 6
8,0.03668587322706621,P_1100,Month 6
9,0.23431574345011072,P_1100,Month 6
10,-0.3914851464143978,P_1100,Month 6
11,-0.36100950102941703,P_1100,Month 6
12,-0.1591983955709479,P_1100,Month 6
13,0.04888263001147631,P_1100,Month 6
14,0.3821224111679881,P_1100,Month 6
2,,P_1100,Month 7
3,,P_1100,Month 7
4,,P_1100,Month 7
5,,P_1100,Month 7
6,,P_1100,Month 7
7,,P_1100,Month 7
8,,P_1100,Month 7
9,,P_1100,Month 7
10,,P_1100,Month 7
11,,P_1100,Month 7
12,,P_1100,Month 7
13,,P_1100,Month 7
14,,P_1100,Month 7
2,,P_1100,Month 8
3,,P_1100,Month 8
4,,P_1100,Month 8
5,,P_1100,Month 8
6,,P_1100,Month 8
7,,P_1100,Month 8
8,,P_1100,Month 8
9,,P_1100,Month 8
10,,P_1100,Month 8
11,,P_1100,Month 8
12,,P_1100,Month 8
13,,P_1100,Month 8
14,,P_1100,Month 8
2,,P_1100,Month 9
3,,P_1100,Month 9
4,,P_1100,Month 9
5,,P_1100,Month 9
6,,P_1100,Month 9
7,,P_1100,Month 9
8,,P_1100,Month 9
9,,P_1100,Month 9
10,,P_1100,Month 9
11,,P_1100,Month 9
12,,P_1100,Month 9
13,,P_1100,Month 9
14,,P_1100,Month 9
2,,P_1100,Month 10
3,,P_1100,Month 10
4,,P_1100,Month 10
5,,P_1100,Month 10
6,,P_1100,Month 10
7,,P_1100,Month 10
8,,P_1100,Month 10
9,,P_1100,Month 10
10,,P_1100,Month 10
11,,P_1100,Month 10
12,,P_1100,Month 10
13,,P_1100,Month 10
14,,P_1100,Month 10
2,,P_1100,Month 11
3,,P_1100,Month 11
4,,P_1100,Month 11
5,,P_1100,Month 11
6,,P_1100,Month 11
7,,P_1100,Month 11
8,,P_1100,Month 11
9,,P_1100,Month 11
10,,P_1100,Month 11
11,,P_1100,Month 11
12,,P_1100,Month 11
13,,P_1100,Month 11
14,,P_1100,Month 11
2,,P_1100,Month 12
3,,P_1100,Month 12
4,,P_1100,Month 12
5,,P_1100,Month 12
6,,P_1100,Month 12
7,,P_1100,Month 12
8,,P_1100,Month 12
9,,P_1100,Month 12
10,,P_1100,Month 12
11,,P_1100,Month 12
12,,P_1100,Month 12
13,,P_1100,Month 12
14,,P_1100,Month 12
