Lag,Autocorrelation,vehicle,season_name
2,,P_1111,Spring Season
3,,P_1111,Spring Season
4,,P_1111,Spring Season
5,,P_1111,Spring Season
6,,P_1111,Spring Season
7,,P_1111,Spring Season
8,,P_1111,Spring Season
9,,P_1111,Spring Season
10,,P_1111,Spring Season
11,,P_1111,Spring Season
12,,P_1111,Spring Season
13,,P_1111,Spring Season
14,,P_1111,Spring Season
15,,P_1111,Spring Season
16,,P_1111,Spring Season
17,,P_1111,Spring Season
18,,P_1111,Spring Season
19,,P_1111,Spring Season
20,,P_1111,Spring Season
2,-0.13420907696404885,P_1111,Summer Season
3,-0.21196633744814905,P_1111,Summer Season
4,-0.27403931006260834,P_1111,Summer Season
5,0.07607156030627829,P_1111,Summer Season
6,-0.04082154136776624,P_1111,Summer Season
7,0.007584437666116338,P_1111,Summer Season
8,-0.04491489743386549,P_1111,Summer Season
9,-0.21525017086226753,P_1111,Summer Season
10,-0.11928234048052462,P_1111,Summer Season
11,-0.042959281840854464,P_1111,Summer Season
12,0.26445691610340116,P_1111,Summer Season
13,0.22984410385348525,P_1111,Summer Season
14,0.2091262354895327,P_1111,Summer Season
15,-0.07458818456307063,P_1111,Summer Season
16,-0.08773382819358361,P_1111,Summer Season
17,-0.09858380257506966,P_1111,Summer Season
18,0.16123173760960668,P_1111,Summer Season
19,-0.1270812376274407,P_1111,Summer Season
20,-0.2294491538774985,P_1111,Summer Season
2,0.016716898944383756,P_1111,Fall Season
3,-0.05392500872093491,P_1111,Fall Season
4,-0.09028774671015126,P_1111,Fall Season
5,-0.16007829074637417,P_1111,Fall Season
6,0.039749369370285226,P_1111,Fall Season
7,0.13305673539513138,P_1111,Fall Season
8,-0.0022857236844931613,P_1111,Fall Season
9,-0.04147036814135857,P_1111,Fall Season
10,0.08608228308394189,P_1111,Fall Season
11,0.03519060157686945,P_1111,Fall Season
12,-0.03217491938055014,P_1111,Fall Season
13,0.029963681189277308,P_1111,Fall Season
14,0.26134531623430435,P_1111,Fall Season
15,0.03579184894690899,P_1111,Fall Season
16,-0.03211034053624914,P_1111,Fall Season
17,-0.01819109242126495,P_1111,Fall Season
18,-0.03310727312001633,P_1111,Fall Season
19,-0.05328882574325252,P_1111,Fall Season
20,-0.09580496173246145,P_1111,Fall Season
2,0.2640172284925683,P_1111,Winter Season
3,0.006416552210388928,P_1111,Winter Season
4,0.06301796837433453,P_1111,Winter Season
5,0.0538993579001122,P_1111,Winter Season
6,-0.067496220938679,P_1111,Winter Season
7,0.16976260154092032,P_1111,Winter Season
8,-0.13330371409845168,P_1111,Winter Season
9,-0.03731792364829135,P_1111,Winter Season
10,-0.0742041764554677,P_1111,Winter Season
11,0.027955537195096032,P_1111,Winter Season
12,-0.008095370669095409,P_1111,Winter Season
13,-0.04921512086464687,P_1111,Winter Season
14,0.2314220511541608,P_1111,Winter Season
15,-0.024045659357775483,P_1111,Winter Season
16,-0.0037306474958207075,P_1111,Winter Season
17,0.10809405267203238,P_1111,Winter Season
18,0.04318064421278306,P_1111,Winter Season
19,0.11378302366790996,P_1111,Winter Season
20,0.10130823111685267,P_1111,Winter Season
